Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit short,30-06-2025 21:45,Margin call,107385.62,0.00336,360.6505056,-0.17,-0.05,0,0,-0.17,-0.05,-0.17,0
1,Entry short,30-06-2025 21:45,SELL DD,107336.46,0.00336,360.6505056,-0.17,-0.05,0,0,-0.17,-0.05,-0.17,0
2,Exit short,30-06-2025 23:00,Close entry(s) order SELL DD,107101.68,0.92828,99638.28909,217.94,0.22,221.48,0.22,-68.95,-0.07,217.78,0.22
2,Entry short,30-06-2025 21:45,SELL DD,107336.46,0.92828,99638.28909,217.94,0.22,221.48,0.22,-68.95,-0.07,217.78,0.22
3,Exit long,01-07-2025 02:00,Close entry(s) order BUY DD,106932.49,0.93475,100217.062,-261.92,-0.26,0,0,-441.85,-0.44,-44.14,-0.04
3,Entry long,30-06-2025 23:30,BUY DD,107212.69,0.93475,100217.062,-261.92,-0.26,0,0,-441.85,-0.44,-44.14,-0.04
4,Exit long,01-07-2025 08:15,SELL DD,106574.92,0.94,99955.464,224.96,0.23,348.22,0.35,-17.32,-0.02,180.82,0.18
4,Entry long,01-07-2025 07:15,BUY DD,106335.6,0.94,99955.464,224.96,0.23,348.22,0.35,-17.32,-0.02,180.82,0.18
5,Exit short,01-07-2025 09:15,Margin call,106660.68,0.006,639.44952,-0.51,-0.08,1.26,0.2,-0.51,-0.08,180.31,0.18
5,Entry short,01-07-2025 08:15,SELL DD,106574.92,0.006,639.44952,-0.51,-0.08,1.26,0.2,-0.51,-0.08,180.31,0.18
6,Exit short,01-07-2025 10:00,Close entry(s) order SELL DD,106807.43,0.934,99540.97528,-217.16,-0.22,255.8,0.26,-289.97,-0.29,-36.86,-0.04
6,Entry short,01-07-2025 08:15,SELL DD,106574.92,0.934,99540.97528,-217.16,-0.22,255.8,0.26,-289.97,-0.29,-36.86,-0.04
7,Exit short,01-07-2025 11:00,Margin call,106100.01,0.00424,449.60748,-0.26,-0.06,1.36,0.3,-0.26,-0.06,-37.12,-0.04
7,Entry short,01-07-2025 10:45,SELL DD,106039.5,0.00424,449.60748,-0.26,-0.06,1.36,0.3,-0.26,-0.06,-37.12,-0.04
8,Exit short,01-07-2025 12:00,Margin call,106280,0.00004,4.24158,-0.01,-0.23,0.02,0.39,-0.01,-0.23,-37.12,-0.04
8,Entry short,01-07-2025 10:45,SELL DD,106039.5,0.00004,4.24158,-0.01,-0.23,0.02,0.39,-0.01,-0.23,-37.12,-0.04
9,Exit short,01-07-2025 13:15,Margin call,106286.03,0.00028,29.69106,-0.07,-0.23,0.12,0.39,-0.07,-0.23,-37.19,-0.04
9,Entry short,01-07-2025 10:45,SELL DD,106039.5,0.00028,29.69106,-0.07,-0.23,0.12,0.39,-0.07,-0.23,-37.19,-0.04
10,Exit short,01-07-2025 13:30,BUY DD,106207.26,0.93813,99478.83614,-157.38,-0.16,390.37,0.39,-231.28,-0.23,-194.57,-0.19
10,Entry short,01-07-2025 10:45,SELL DD,106039.5,0.93813,99478.83614,-157.38,-0.16,390.37,0.39,-231.28,-0.23,-194.57,-0.19
11,Exit long,01-07-2025 15:00,Close entry(s) order BUY DD,105749.68,0.93972,99805.08637,-430,-0.43,75.83,0.08,-477.42,-0.48,-624.57,-0.62
11,Entry long,01-07-2025 13:30,BUY DD,106207.26,0.93972,99805.08637,-430,-0.43,75.83,0.08,-477.42,-0.48,-624.57,-0.62
12,Exit long,01-07-2025 18:30,Close entry(s) order BUY DD,105721.22,0.94079,99375.19612,86.27,0.09,442.62,0.45,0,0,-538.3,-0.54
12,Entry long,01-07-2025 16:30,BUY DD,105629.52,0.94079,99375.19612,86.27,0.09,442.62,0.45,0,0,-538.3,-0.54
13,Exit short,01-07-2025 21:15,Margin call,105623.21,0.00132,139.396818,-0.03,-0.02,0.3,0.22,-0.03,-0.02,-538.33,-0.54
